
Versions;Days;Cubes
Forecast;"12 Apr 21";1
Forecast;"13 Apr 21";14
Forecast;"14 Apr 21";5
Forecast;"15 Apr 21";39
Forecast;"16 Apr 21";47
Forecast;"17 Apr 21";40
Forecast;"18 Apr 21";33
Forecast;"19 Apr 21";9
Forecast;"20 Apr 21";13
Forecast;"21 Apr 21";1
Forecast;"22 Apr 21";24
Forecast;"23 Apr 21";15
Forecast;"24 Apr 21";19
Forecast;"25 Apr 21";44
Forecast;"26 Apr 21";46
Forecast;"27 Apr 21";38
Forecast;"28 Apr 21";40
Forecast;"29 Apr 21";26
Forecast;"30 Apr 21";41
Forecast;"1 May 21";29
Forecast;"2 May 21";5
Forecast;"3 May 21";35
Forecast;"4 May 21";22
Forecast;"5 May 21";16
Forecast;"6 May 21";50
Forecast;"7 May 21";0
Forecast;"8 May 21";26
Forecast;"9 May 21";31
Forecast;"10 May 21";14
Forecast;"11 May 21";22
Forecast;"12 May 21";7
Forecast;"13 May 21";44
Forecast;"14 May 21";38
Forecast;"15 May 21";44
Forecast;"16 May 21";16
Forecast;"17 May 21";30
Forecast;"18 May 21";41
Forecast;"19 May 21";21
Forecast;"20 May 21";16
Forecast;"21 May 21";25
Forecast;"22 May 21";45
Forecast;"23 May 21";23
Forecast;"24 May 21";20
Forecast;"25 May 21";48
Forecast;"26 May 21";24
Forecast;"27 May 21";34
Forecast;"28 May 21";46
Forecast;"29 May 21";20
Forecast;"30 May 21";50
Forecast;"31 May 21";19
Forecast;"1 Jun 21";42
Forecast;"2 Jun 21";6
Forecast;"3 Jun 21";40
Forecast;"4 Jun 21";39
Forecast;"5 Jun 21";17
Forecast;"6 Jun 21";12
Forecast;"7 Jun 21";12
Forecast;"8 Jun 21";50
Forecast;"9 Jun 21";6
Forecast;"10 Jun 21";32
Forecast;"11 Jun 21";33
Forecast;"12 Jun 21";17
Forecast;"13 Jun 21";44
Forecast;"14 Jun 21";8
Forecast;"15 Jun 21";6
Forecast;"16 Jun 21";36
Forecast;"17 Jun 21";29
Forecast;"18 Jun 21";29
Forecast;"19 Jun 21";50
Forecast;"20 Jun 21";3
Forecast;"21 Jun 21";19
Forecast;"22 Jun 21";8
Forecast;"23 Jun 21";24
Forecast;"24 Jun 21";4
Forecast;"25 Jun 21";6
Forecast;"26 Jun 21";6
Forecast;"27 Jun 21";6
Forecast;"28 Jun 21";21
Forecast;"29 Jun 21";13
Forecast;"30 Jun 21";29
Forecast;"1 Jul 21";9
Forecast;"2 Jul 21";7
Forecast;"3 Jul 21";30
Forecast;"4 Jul 21";4
Forecast;"5 Jul 21";17
Forecast;"6 Jul 21";46
Forecast;"7 Jul 21";4
Forecast;"8 Jul 21";21
Forecast;"9 Jul 21";13
Forecast;"10 Jul 21";20
Forecast;"11 Jul 21";7
Forecast;"12 Jul 21";30
Forecast;"13 Jul 21";34
Forecast;"14 Jul 21";41
Forecast;"15 Jul 21";28
Forecast;"16 Jul 21";38
Forecast;"17 Jul 21";6
Forecast;"18 Jul 21";29
Forecast;"19 Jul 21";30
Forecast;"20 Jul 21";39
Forecast;"21 Jul 21";19
Forecast;"22 Jul 21";39
Forecast;"23 Jul 21";6
Forecast;"24 Jul 21";8
Forecast;"25 Jul 21";17
Forecast;"26 Jul 21";42
Forecast;"27 Jul 21";6
Forecast;"28 Jul 21";13
Forecast;"29 Jul 21";14
Forecast;"30 Jul 21";26
Forecast;"31 Jul 21";49
Forecast;"1 Aug 21";46
Forecast;"2 Aug 21";15
Forecast;"3 Aug 21";33
Forecast;"4 Aug 21";10
Forecast;"5 Aug 21";5
Forecast;"6 Aug 21";1
Forecast;"7 Aug 21";9
Forecast;"8 Aug 21";43
Forecast;"9 Aug 21";14
Forecast;"10 Aug 21";24
Forecast;"11 Aug 21";33
Forecast;"12 Aug 21";38
Forecast;"13 Aug 21";45
Forecast;"14 Aug 21";35
Forecast;"15 Aug 21";38
Forecast;"16 Aug 21";0
Forecast;"17 Aug 21";0
Forecast;"18 Aug 21";9
Forecast;"19 Aug 21";32
Forecast;"20 Aug 21";29
Forecast;"21 Aug 21";38
Forecast;"22 Aug 21";0
Forecast;"23 Aug 21";12
Forecast;"24 Aug 21";9
Forecast;"25 Aug 21";44
Forecast;"26 Aug 21";29
Forecast;"27 Aug 21";47
Forecast;"28 Aug 21";18
Forecast;"29 Aug 21";6
Forecast;"30 Aug 21";17
Forecast;"31 Aug 21";18
Forecast;"1 Sep 21";36
Forecast;"2 Sep 21";39
Forecast;"3 Sep 21";44
Forecast;"4 Sep 21";21
Forecast;"5 Sep 21";16
Forecast;"6 Sep 21";8
Forecast;"7 Sep 21";8
Forecast;"8 Sep 21";50
Forecast;"9 Sep 21";32
Forecast;"10 Sep 21";47
Forecast;"11 Sep 21";39
Forecast;"12 Sep 21";22
Forecast;"13 Sep 21";27
Forecast;"14 Sep 21";19
Forecast;"15 Sep 21";47
Forecast;"16 Sep 21";39
Forecast;"17 Sep 21";39
Forecast;"18 Sep 21";33
Forecast;"19 Sep 21";46
Forecast;"20 Sep 21";3
Forecast;"21 Sep 21";24
Forecast;"22 Sep 21";0
Forecast;"23 Sep 21";31
Forecast;"24 Sep 21";31
Forecast;"25 Sep 21";25
Forecast;"26 Sep 21";39
Forecast;"27 Sep 21";39
Forecast;"28 Sep 21";15
Forecast;"29 Sep 21";49
Forecast;"30 Sep 21";7
Forecast;"1 Oct 21";18
Forecast;"2 Oct 21";30
Forecast;"3 Oct 21";29
Forecast;"4 Oct 21";2
Forecast;"5 Oct 21";39
Forecast;"6 Oct 21";22
Forecast;"7 Oct 21";15
Forecast;"8 Oct 21";15
Forecast;"9 Oct 21";31
Forecast;"10 Oct 21";12
Forecast;"11 Oct 21";50
Forecast;"12 Oct 21";45
Forecast;"13 Oct 21";5
Forecast;"14 Oct 21";29
Forecast;"15 Oct 21";32
Forecast;"16 Oct 21";41
Forecast;"17 Oct 21";32
Forecast;"18 Oct 21";8
Forecast;"19 Oct 21";37
Forecast;"20 Oct 21";25
Forecast;"21 Oct 21";14
Forecast;"22 Oct 21";46
Forecast;"23 Oct 21";2
Forecast;"24 Oct 21";46
Forecast;"25 Oct 21";27
Forecast;"26 Oct 21";15
Forecast;"27 Oct 21";18
Forecast;"28 Oct 21";4
Forecast;"29 Oct 21";22
Forecast;"30 Oct 21";22
Forecast;"31 Oct 21";48
Forecast;"1 Nov 21";25
Forecast;"2 Nov 21";35
Forecast;"3 Nov 21";21
Forecast;"4 Nov 21";34
Forecast;"5 Nov 21";37
Forecast;"6 Nov 21";47
Forecast;"7 Nov 21";3
Forecast;"8 Nov 21";18
Forecast;"9 Nov 21";8
Forecast;"10 Nov 21";13
Forecast;"11 Nov 21";28
Forecast;"12 Nov 21";24
Forecast;"13 Nov 21";35
Forecast;"14 Nov 21";41
Forecast;"15 Nov 21";0
Forecast;"16 Nov 21";3
Forecast;"17 Nov 21";0
Forecast;"18 Nov 21";49
Forecast;"19 Nov 21";30
Forecast;"20 Nov 21";16
Forecast;"21 Nov 21";40
Forecast;"22 Nov 21";11
Forecast;"23 Nov 21";13
Forecast;"24 Nov 21";10
Forecast;"25 Nov 21";32
Forecast;"26 Nov 21";29
Forecast;"27 Nov 21";21
Forecast;"28 Nov 21";10
Forecast;"29 Nov 21";48
Forecast;"30 Nov 21";18
Forecast;"1 Dec 21";6
Forecast;"2 Dec 21";11
Forecast;"3 Dec 21";6
Forecast;"4 Dec 21";14
Forecast;"5 Dec 21";28
Forecast;"6 Dec 21";36
Forecast;"7 Dec 21";40
Forecast;"8 Dec 21";20
Forecast;"9 Dec 21";7
Forecast;"10 Dec 21";6
Forecast;"11 Dec 21";42
Forecast;"12 Dec 21";14
Forecast;"13 Dec 21";29
Forecast;"14 Dec 21";48
Forecast;"15 Dec 21";25
Forecast;"16 Dec 21";13
Forecast;"17 Dec 21";29
Forecast;"18 Dec 21";15
Forecast;"19 Dec 21";0
Forecast;"20 Dec 21";11
Forecast;"21 Dec 21";13
Forecast;"22 Dec 21";12
Forecast;"23 Dec 21";5
Forecast;"24 Dec 21";26
Forecast;"25 Dec 21";21
Forecast;"26 Dec 21";14
Forecast;"27 Dec 21";16
Forecast;"28 Dec 21";29
Forecast;"29 Dec 21";47
Forecast;"30 Dec 21";44
Forecast;"31 Dec 21";46
